id,oai_identifier,oai_datestamp,auth_name,auth_date,auth_activity,auth_occupation,auth_biography,auth_datestamp,nkp_aut_url,cover,ts,harvest_max_eshop,harvest_last_time,viafID
mzk2004221679,oai:aleph-nkp.cz:AUT10-000221679,2012-06-30T22:30:59Z,"Bistřický, Jan,",1930-,NULL,NULL,NULL,20040611145853.0,NULL,1387070,"2016-03-05 22:30:18",7039,"2016-08-22 06:21:01",NULL
mzk2004223216,oai:aleph-nkp.cz:AUT10-000223216,2012-06-30T22:31:05Z,"Horňák, Pavel,",1968-,NULL,NULL,"Narozen 17.5.1968 v Sokolově. Zpěvák, právník.",20041103090630.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000223216&local_base=AUT,1387070,"2016-03-05 22:31:41",7039,"2016-08-22 06:24:47",84573415
mzk2004232072,oai:aleph-nkp.cz:AUT10-000232072,2012-06-30T22:31:38Z,"Žáček, Rudolf,",1948-,NULL,NULL,"Narozen 20.5.1948 v Ostravě. Doc., historik, práce z oboru, též regionální historické práce o Slezsku.",20041004125340.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000232072&local_base=AUT,1387070,"2016-03-05 22:39:26",7039,"2016-08-22 06:40:46",47940936
mzk2004238625,oai:aleph-nkp.cz:AUT10-000238625,2012-06-30T22:32:00Z,"Máče, Miroslav,",1956-,NULL,NULL,"Narozen 1956.Elektroinženýr a ekonom, CSc., vysokoškolský pedagog, odborné práce z informatiky a programování, též z makroekonomiky a finančnictví.",20070326094218.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000238625&local_base=AUT,1387070,"2016-03-05 22:46:14",7039,"2016-08-22 06:54:54",84583278
mzk2004258727,oai:aleph-nkp.cz:AUT10-000258727,2012-06-30T22:30:27Z,"Seidl, Zdeněk,",1950-,NULL,NULL,"Narozen 18. 8. 1950 ve Vlašimi. Prof. MUDr., CSc. neurolog a neuroradiolog. Radiodiagnostická klinika, 1.LF a VFN, Praha. Také regionální politik, od roku 2008 je náměstkem hejtmana Středočeského kraje, od roku 2006 zastupitelem Vlašimi.",20110321084845.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000258727&local_base=AUT,1387070,"2016-03-05 22:23:43",7039,"2016-08-22 07:41:02",84596518
mzk2005269714,oai:aleph-nkp.cz:AUT10-000269714,2012-06-30T22:31:03Z,"Karpíšek, Jan,",1981-,NULL,NULL,"Narozen 15.3.1981 v Jihlavě. Výtvarník, malíř.",20061204081721.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000269714&local_base=AUT,1387070,"2016-03-05 22:31:18",7039,"2016-08-22 08:07:20",84605212
mzk2005274864,oai:aleph-nkp.cz:AUT10-000274864,2012-06-30T22:31:20Z,"Jirsa, Jaromír,",1966-,NULL,NULL,"Narozen 5.5.1966 v Praze. Civilní soudce, práce z civilního práva procesního a hmotného, rodinného práva, organizace a řízení soudů.",20050331090607.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000274864&local_base=AUT,1387070,"2016-03-05 22:34:58",7039,"2016-08-22 08:29:08",9648398
mzk2005279636,oai:aleph-nkp.cz:AUT10-000279636,2012-06-30T22:31:35Z,"Štekl, Václav,",1929-1994,NULL,NULL,"Narozen 1929, zemřel 5.2.1994 v Praze. Herec.",20080211104757.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000279636&local_base=AUT,1387070,"2016-03-05 22:38:47",7039,"2016-08-22 08:51:40",84618874
mzk2005304313,oai:aleph-nkp.cz:AUT10-000304313,2016-02-04T08:01:12Z,"Kala, Miloslav,",1963-,NULL,NULL,"Narozen 1963. Politik, poslanec za ČSSD, práce o globalizaci, ekonomice a politice.",20060210144312.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000304313&local_base=AUT,1387070,"2016-03-06 11:32:06",7039,"2016-08-22 09:54:49",84638668
mzk2006331581,oai:aleph-nkp.cz:AUT10-000331581,2014-12-18T17:02:12Z,"Hulicius, Eduard,",1980-,NULL,NULL,"Narozen 1980. Politolog, práce z oboru, působí v Evropském parlamentu ve frakci Evropské strany lidové - Evropských demokratů.",20070903134924.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000331581&local_base=AUT,1387070,"2016-03-06 10:49:23",7039,"2016-08-22 10:44:33",71120206
