id,oai_identifier,oai_datestamp,auth_name,auth_date,auth_activity,auth_occupation,auth_biography,auth_datestamp,nkp_aut_url,cover,ts,harvest_max_eshop,harvest_last_time,viafID
pna2008456685,oai:aleph-nkp.cz:AUT10-000456685,2012-06-30T22:33:11Z,"Chřibková, Irena,",1959-,NULL,NULL,"Narozena 22. 7. 1959 v Bohumíně. Varhanice.",20120514201225.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000456685&local_base=AUT,1387079,"2016-03-05 23:01:43",7040,"2016-08-25 05:32:42",85138231
pna2011675612,oai:aleph-nkp.cz:AUT10-000675612,2012-08-07T12:37:29Z,"Bradáčová, Lenka,",1973-,NULL,NULL,"Narozena 1. 3. 1973 v Roudnici nad Labem. JUDr., PhD., státní zástupkyně, prezidentka Unie státních zástupců.",20120807143631.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000675612&local_base=AUT,1387079,"2016-03-06 00:03:08",7040,"2016-08-24 17:19:42",221180969
uk2013766801,oai:aleph-nkp.cz:AUT10-000766801,2013-08-12T09:33:54Z,"Roithová, Jana,",1974-,NULL,NULL,"Narozena 12. 11. 1974 v Ústí nad Labem. Doc., zabývá se organickou, anorganickou a fyzikální chemií, publikace v oboru.",20130812113322.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000766801&local_base=AUT,1387079,"2016-03-06 10:09:08",7040,"2016-08-24 14:09:36",304632098
xx0000287,oai:aleph-nkp.cz:AUT10-000100915,2012-06-30T22:27:03Z,"Machatá, Marie,",1954-,NULL,NULL,"Narozena 9.5.1954 ve Vrchlabí. PaedDr., politička, pracuje v sociální oblasti a ve zdravotnictví.",20020124000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000100915&local_base=AUT,1387079,"2016-03-05 21:51:53",7040,"2016-08-24 16:31:55",85308954
xx0000678,oai:aleph-nkp.cz:AUT10-000102377,2012-06-30T22:27:09Z,"Junge, Traudl,",1920-2002,NULL,NULL,"Narozena 16.3.1920 v Mnichově, zemřela v únoru 2002. Osobní sekretářka A. Hitlera, autorka pamětí.",20030604132408.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000102377&local_base=AUT,1387079,"2016-03-05 21:52:43",7040,"2016-08-24 16:46:33",5184908
xx0001493,oai:aleph-nkp.cz:AUT10-000107426,2012-06-30T22:27:29Z,"Navarová, Světlana,",1956-,NULL,NULL,"Narozena 12.6.1956 v Praze. Ing., elektroinženýrka, obor technická kybernetika. Politička.",20020425104144,http://aleph.nkp.cz/F/?func=direct&doc_number=000107426&local_base=AUT,1387079,"2016-03-05 21:56:15",7040,"2016-08-24 17:21:39",85315736
xx0003220,oai:aleph-nkp.cz:AUT10-000152001,2012-06-30T22:27:19Z,"Slonková, Sabina,",1973-,NULL,NULL,"Narozena 27.6.1973 v Praze. Novinářka, redaktorka MF Dnes.",20021105134519.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000152001&local_base=AUT,1387079,"2016-03-05 21:54:27",7040,"2016-08-24 23:58:40",85325437
xx0003947,oai:aleph-nkp.cz:AUT10-000158295,2012-06-30T22:27:43Z,"Balatková-Šikolová, Helena,",1949-,NULL,NULL,"Narozena 25.3.1949 v Jablonci nad Nisou. Lyžařka, běžkyně.",20030127135930.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000158295&local_base=AUT,1387079,"2016-03-05 21:58:53",7040,"2016-08-25 05:09:28",85329264
xx0005349,oai:aleph-nkp.cz:AUT10-000165217,2012-06-30T22:28:11Z,"Brynychová, Ludmila,",1952-,NULL,NULL,"Narozena 27.11.1952. Ing., politička, původně zootechnička.",20030310091433.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000165217&local_base=AUT,1387079,"2016-03-05 22:03:28",7040,"2016-08-24 14:05:46",85337173
xx0006619,oai:aleph-nkp.cz:AUT10-000170065,2012-06-30T22:28:33Z,"Bambasová, Daniela,",1954-,NULL,NULL,"Narozena 11.11.1954 v Praze. Herečka.",20030515102244.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000170065&local_base=AUT,1387079,"2016-03-05 22:06:08",7040,"2016-08-25 06:21:42",85345165
xx0008997,oai:aleph-nkp.cz:AUT10-000182002,2012-06-30T22:29:20Z,"Čižmářová, Jana,",1950-,NULL,NULL,"Narozena 17.8.1950 v Brně. PhDr.,archeoložka - kurátorka Moravského zemského muzea v Brně, specializace doba laténská.",20030606093254.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000182002&local_base=AUT,1387079,"2016-03-05 22:12:39",7040,"2016-08-24 15:09:57",194534527
xx0010371,oai:aleph-nkp.cz:AUT10-000188078,2012-06-30T22:29:44Z,"Šámalová, Barbora,",1974-,NULL,NULL,"Narozena 1974 v Praze. Novinářka a reportérka.",20030626144515.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000188078&local_base=AUT,1387079,"2016-03-05 22:15:51",7040,"2016-08-24 15:41:07",75700295
xx0010609,oai:aleph-nkp.cz:AUT10-000190578,2012-06-30T22:29:54Z,"Fibingerová, Helena,",1949-,NULL,NULL,"Narozena 13.7.1949. Česká atletka, reprezentantka ve vrhu koulí.",20030717091722.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000190578&local_base=AUT,1387079,"2016-03-05 22:17:30",7040,"2016-08-24 15:48:26",85369701
xx0011565,oai:aleph-nkp.cz:AUT10-000195127,2012-06-30T22:30:11Z,"Toušlová, Iveta,",1968-,NULL,NULL,"Narozena 2.8.1968 ve Vimperku. Redaktorka a moderátorka České televize.",20031104092336.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000195127&local_base=AUT,1387079,"2016-03-05 22:20:29",7040,"2016-08-24 16:20:06",85375160
xx0011985,oai:aleph-nkp.cz:AUT10-000198597,2012-06-30T22:30:25Z,"Salačová, Jiřina,",1920-1991,NULL,NULL,"Narozena 14.5.1920 v Terezíně, zemřela 1991. Zpěvačka.",20040609154121.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000198597&local_base=AUT,1387079,"2016-03-05 22:23:24",7040,"2016-08-24 16:36:52",85377621
xx0014105,oai:aleph-nkp.cz:AUT10-000206738,2012-06-30T22:30:02Z,"Nováková, Eva,",1938-,NULL,NULL,"Narozena 18.1.1938 v Martině (Slovensko).MUDr., politička, aktivistka Klubu UNESCO Kroměříž a koordinátorka hudebního života města Kroměříže. V letech 1990-1998 poslankyně a senátorka. Články v regionálním tisku.",20031211152839.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000206738&local_base=AUT,1387079,"2016-03-05 22:18:43",7040,"2016-08-24 17:48:49",85390853
xx0017936,oai:aleph-nkp.cz:AUT10-000220611,2012-06-30T22:30:55Z,"Robbová, Jana,",1951-1996,NULL,NULL,"Narozena 4.4.1951 v Praze, zemřela 4.8.1996. Zpěvačka.",20040310152043.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000220611&local_base=AUT,1387079,"2016-03-05 22:29:25",7040,"2016-08-24 21:50:56",85413980
xx0018362,oai:aleph-nkp.cz:AUT10-000222414,2012-06-30T22:31:02Z,"Jordánová, Zdeňka,",1956-,NULL,NULL,"Narozena 1956 v Praze. Ing., kinezioložka, pořádá vzdělávací kurzy metody One Brain (Jednotný mozek).",20040423132417.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000222414&local_base=AUT,1387079,"2016-03-05 22:30:54",7040,"2016-08-24 22:03:46",85416218
